Direct GHG Emissions (Metric Tons CO2e),Water Intensity (All Water Sources) (gal/ft²),log_Property Id,log_Year Built,log_Number of Buildings - Self-reported,log_Occupancy,log_Weather Normalized Site Natural Gas Use (therms),log_Direct GHG Emissions (Metric Tons CO2e),log_Property GFA - Self-Reported (ft²),log_Water Intensity (All Water Sources) (gal/ft²),log_Source EUI (kBtu/ft²),log_Community Board,log_Census Tract,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
440.9,99.41,15.581915295449443,7.575584651557793,0.0,4.605170185988092,11.429058955877402,6.0888180923638915,11.255449234575513,4.599252712224054,5.143416405330075,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217.9,,15.29676094527441,7.563200592358071,0.0,4.605170185988092,10.708117966603929,5.384036241950574,10.858998997563564,,4.902307417210627,1.0986122886681098,5.081404364984463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.0,,15.355678560539836,7.577633832602728,0.0,4.605170185988092,10.255492107165745,5.017279836814924,11.56171562913966,,4.254193263163997,2.1972245773362196,5.796057750765372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672.4,,15.037325245053154,7.596894438144544,0.0,4.605170185988092,11.823327962626246,6.510853401534461,11.770145752614392,,5.665388086668889,0.0,3.295836866004329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
456.5,28.65,14.810362901230167,7.563719668414366,0.0,4.605170185988092,7.537216907855949,6.1235887000350235,11.711366403644066,3.3551534431607486,4.487512142519859,1.9459101490553132,5.10594547390058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248.8,4.8,14.703700124727519,7.564757012905729,0.0,4.499809670330265,10.627995309225982,5.516649360865024,12.398963153673362,1.5686159179138452,4.844187086458591,0.6931471805599453,3.6109179126442243,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227.3,67.14,15.56252977604297,7.571473648851271,0.0,4.605170185988092,10.722936932960728,5.426270730858498,11.242428217272549,4.206779991551889,4.528289141652134,2.4849066497880004,6.194405391104672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431.4,30.73,14.797778151068766,7.569411792450712,0.0,4.605170185988092,,6.067035733955056,11.609598352230488,3.425239376142393,4.809742351716865,2.0794415416798357,4.955827057601261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478.4,41.96,14.902276285737534,7.580189417944541,0.0,4.605170185988092,11.409429875921914,6.170447202636422,12.058674118525449,3.7367167835280966,4.508659285607248,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293.2,86.88,15.300448853928641,7.57095858316901,0.0,4.605170185988092,10.892894908197695,5.680854970012496,11.074730532239146,4.464527856185625,4.890349128221754,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8,,14.797463179760946,7.561121589530238,0.0,4.605170185988092,6.561030665896573,1.33500106673234,11.391288763472755,,4.576770711466393,1.6094379124341003,9.323936878558722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288.0,,14.848465121641993,7.562681246721884,0.0,4.605170185988092,10.957210558693088,5.662960480135946,10.8457773602789,,5.021904886354487,2.302585092994046,10.188704088048116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365.6,,14.844464753934856,7.569927655242652,0.0,4.605170185988092,11.216719164297354,5.901539839579995,11.33857207782545,,4.837075242970874,2.6390573296152584,6.2422232654551655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305.5,72.31,14.903879562872703,7.5953872788539725,0.0,4.605170185988092,10.968717120429766,5.72194977861165,11.109937286736956,4.28096243218686,4.921439715291784,2.3978952727983707,10.410365394054022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175.8,14.43,14.953177520360857,7.568379267836522,0.0,4.605170185988092,8.269372652389587,5.169346985251076,11.1061144515377,2.6693093727857793,5.051777237427431,1.6094379124341003,4.430816798843313,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311.5,,15.297025094838247,7.558516743045645,0.0,4.605170185988092,11.056755310475358,5.741399338227508,11.82495862828584,,4.198704577546343,2.302585092994046,4.189654742026425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311.6,,15.410044759790647,7.562161631225652,0.0,4.605170185988092,8.270883362070188,5.741720313996593,10.85957575428435,,4.955122584165997,1.791759469228055,5.8888779583328805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.4,50.52,15.572304633975783,7.582738488914411,0.0,4.605170185988092,10.599198942698807,5.3003153692107094,10.855145428247575,3.9223692974822906,4.829912458665998,2.5649493574615367,10.529452721013085,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170.0,24.44,15.5844830310943,7.555381944240273,0.0,4.605170185988092,10.457384159949381,5.135798437050262,11.064041242744421,3.1962211343033946,5.277604324950495,1.3862943611198906,4.51085950651685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394.0,,15.21253168110989,7.570443252057374,0.0,4.605170185988092,7.8468636961367375,5.976350909297934,10.997254789541039,,4.9082333604781745,2.4849066497880004,6.040254711277414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165.4,34.89,14.78549597856918,7.581209826196346,0.0,4.605170185988092,10.435059475846609,5.108366782589591,11.002099841204238,3.5522002551986827,4.877484781308751,0.6931471805599453,4.31748811353631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.1,30.08,15.21148244045098,7.564238475170491,0.0,4.605170185988092,,5.1480757032174935,11.353308203910723,3.403860499081639,4.598145571051127,2.0794415416798357,9.680406499268875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.3,,14.801982734692123,7.5883236773352225,0.0,4.605170185988092,10.68406623015624,5.412984441526163,11.553827456290653,,5.249652194566756,1.791759469228055,5.973809611869261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
